,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Souillac,MU,-20.5167,57.5167,71.98,78,75,12.66,broken clouds
178,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,38,0,25.32,clear sky
179,Mahajanga,MG,-15.7167,46.3167,68.02,77,0,5.75,clear sky
180,Oranjestad,AW,12.524,-70.027,82.35,90,40,9.22,scattered clouds
181,Platteville,US,42.7342,-90.4785,56.14,93,0,0.0,clear sky
182,Saint-Joseph,RE,-21.3667,55.6167,75.47,68,17,11.01,few clouds
183,Totness,SR,5.8833,-56.3167,79.59,82,12,11.45,few clouds
184,Apatou,GF,5.155,-54.3472,72.59,97,10,2.59,clear sky
185,Ternate,ID,0.8,127.4,86.61,63,90,5.53,overcast clouds
186,Xinzhou,CN,38.4092,112.7333,55.98,53,97,2.3,overcast clouds
187,Bethel,US,41.3712,-73.414,60.89,87,75,5.99,broken clouds
188,San Lorenzo,PY,-25.3333,-57.5333,74.59,64,40,10.36,scattered clouds
189,Usinsk,RU,65.9939,57.5281,40.89,95,100,11.97,overcast clouds
190,Lockhart,US,28.6194,-81.4426,68.92,78,6,5.35,clear sky
191,Russell,US,32.3502,-85.1999,58.23,51,2,3.47,clear sky
192,Vestmannaeyjar,IS,63.4427,-20.2734,44.71,68,48,11.83,scattered clouds
193,Kayankulam,IN,9.1833,76.5,81.97,76,95,3.74,light rain
194,Flinders,AU,-34.5833,150.8552,61.38,92,100,7.0,light rain
195,College,US,64.8569,-147.8028,44.8,76,22,3.47,few clouds
196,Arraial Do Cabo,BR,-22.9661,-42.0278,68.9,85,100,11.81,overcast clouds
197,Kasongo,CD,-4.45,26.6667,65.97,95,99,2.64,overcast clouds
198,Log,RU,49.4844,43.8613,47.37,80,9,8.75,clear sky
199,Montepuez,MZ,-13.1256,38.9997,65.44,89,19,2.98,few clouds
200,Morondava,MG,-20.2833,44.2833,76.42,78,41,6.78,scattered clouds
201,East London,ZA,-33.0153,27.9116,61.74,88,20,9.22,few clouds
202,Nuristan,AF,35.3,70.8333,41.36,36,1,5.79,clear sky
203,Longyearbyen,SJ,78.2186,15.6401,40.84,70,40,16.11,scattered clouds
204,Severo-Kurilsk,RU,50.6789,156.125,47.17,55,19,12.3,few clouds
205,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,75,11.5,broken clouds
206,Bengkulu,ID,-3.8004,102.2655,82.99,68,26,6.26,scattered clouds
207,Moroto,UG,2.5345,34.6666,68.99,58,86,5.66,overcast clouds
208,Alofi,NU,-19.0595,-169.9187,82.29,65,40,11.5,scattered clouds
209,Grand Gaube,MU,-20.0064,57.6608,74.37,67,7,7.0,clear sky
210,Kumeny,RU,58.1089,49.9161,43.81,96,100,6.24,overcast clouds
211,Thinadhoo,MV,0.5333,72.9333,82.51,75,64,19.51,broken clouds
212,Ahipara,NZ,-35.1667,173.1667,55.35,53,69,19.19,broken clouds
213,Codrington,AU,-38.2667,141.9667,65.19,80,96,13.94,overcast clouds
214,Saint-Augustin,CA,51.226,-58.6502,51.98,88,83,5.84,broken clouds
215,Salinopolis,BR,-0.6136,-47.3561,80.01,78,3,11.83,clear sky
216,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,13.8,broken clouds
217,Pandan,PH,14.0453,124.1694,85.39,72,100,9.33,overcast clouds
218,Piacabucu,BR,-10.4056,-36.4344,74.05,92,19,6.87,few clouds
219,Quatre Cocos,MU,-20.2078,57.7625,74.08,77,35,16.62,light rain
220,San Patricio,US,28.017,-97.5169,78.84,64,6,6.85,clear sky
221,Tsumeb,NA,-19.2333,17.7167,73.98,15,23,5.99,few clouds
222,Pailon,BO,-17.65,-62.75,79.7,62,100,13.13,overcast clouds
223,Olafsvik,IS,64.8945,-23.7142,43.92,69,98,10.0,overcast clouds
224,Bereda,ES,43.2686,-7.5406,59.41,100,100,7.81,overcast clouds
225,Cururupu,BR,-1.8283,-44.8683,77.76,77,1,6.96,clear sky
226,Mahanoro,MG,-19.9,48.8,69.39,81,8,4.34,clear sky
227,Komsomolskiy,UZ,40.4272,71.7189,61.52,27,0,6.91,clear sky
228,Kodiak,US,57.79,-152.4072,53.11,94,100,0.0,overcast clouds
229,Benghazi,LY,32.1167,20.0667,71.94,63,0,13.67,clear sky
230,Xuddur,SO,4.1213,43.8894,73.29,76,62,11.79,broken clouds
231,Novokizhinginsk,RU,51.6115,109.5917,40.12,40,20,5.55,few clouds
232,Manakara,MG,-22.1333,48.0167,69.21,84,16,7.31,few clouds
233,Pemangkat,ID,1.1667,108.9667,80.47,79,100,5.26,light rain
234,Luderitz,NA,-26.6481,15.1594,53.64,75,14,16.55,few clouds
235,Ardabil,IR,38.2498,48.2933,40.55,65,75,4.61,broken clouds
236,Dicabisagan,PH,17.0818,122.4157,86.45,67,46,7.76,light rain
237,Itoman,JP,26.1247,127.6694,86.4,70,20,13.8,few clouds
238,Senneterre,CA,48.3835,-77.2328,54.64,87,90,6.42,overcast clouds
239,Daru,PG,-9.0763,143.2092,82.38,82,98,15.64,overcast clouds
240,Kenai,US,60.5544,-151.2583,56.08,71,100,9.22,overcast clouds
241,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,80,100,17.27,overcast clouds
242,Chuy,UY,-33.6971,-53.4616,58.68,83,100,10.27,overcast clouds
243,Melaka,MY,2.196,102.2405,80.64,89,20,1.14,few clouds
244,Korla,CN,41.7597,86.1469,61.0,25,41,6.53,scattered clouds
245,Porbandar,IN,21.6422,69.6093,83.55,65,34,11.34,scattered clouds
246,Rossland,CA,49.0831,-117.8022,53.91,73,41,2.64,scattered clouds
247,Meulaboh,ID,4.1363,96.1285,81.28,75,79,3.04,broken clouds
